p1,Inviting,Desirable,Familiar,Satisfying,Confusing,Useful,Effective,Flexible,Helpful,Convenient,Friendly,High quality,Fast,Easy to use,Comfortable,Organized,Straight Forward,Comprehensive,Clean,Relevant,p1,,,
p2,Intimidating,Straight Forward,Professional,Fast,Simplistic,Efficient,Overwhelming,,,,,,,,,,,,,,,,,
p3,Easy to use,High quality,Helpful,Efficient,Organized,Simplistic,Rigid,Straight Forward,Intimidating,Approachable,Complex,Useful,Professional,Overwhelming,Consistent,Relevant,Advanced,Collaborative,Time-consuming,Busy,Essential,,,
p4,Irrelevant,Stressful,Confusing,Unconventional,Time-consuming,Dull,Unrefined,Annoying,Unattractive,Poor quality,Ineffective,Inconsistent,Overwhelming,Difficult,Busy,Undesirable,Impersonal,,,,,,,
p5,Time-consuming,Annoying,Unrefined,Rigid,Stressful,Collaborative,Difficult,Overwhelming,Unconventional,Confusing,Inconsistent,Complex,Unpredictable,Busy,,,,,,,,,,
p6,Convenient,Relevant,Busy,Predictable,Time-consuming,Professional,Comfortable,Helpful,Consistent,Familiar,Satisfying,Organized,Clean,Fast,Useful,Approachable,Collaborative,Creative,Engaging,Simplistic,Reliable,Straight Forward,Easy to use,Effective
p7,Rigid,Easy to use,Predictable,Engaging,Organized,Effective,Professional,,,,,,,,,,,,,,,,,
p8,Reliable,Useful,Effective,Helpful,Simplistic,Organized,Straight Forward,Flexible,Easy to use,,,,,,,,,,,,,,,
p10,Intimidating,Predictable,Reliable,Comprehensive,Time-consuming,Organized,,,,,,,,,,,,,,,,,,
p11,Easy to use,Organized,Creative,Helpful,Time-consuming,Consistent,Comprehensive,Powerful,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Participants counted:,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,10,11,,,,,,,,,,,,,,,
Participants discarded:,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,
